instruction,input,output
,What are the attendance and punctuality expectations at First National Bank?,"Regular attendance and punctuality are essential for the efficient operation of First National Bank and are expected of all employees. Employees should be at their workstations, ready to work, at their scheduled start time. For notification of absence or tardiness, employees must notify their supervisor as soon as possible if they will be late or absent; notification should occur at least 30 minutes before the scheduled start time; for planned absences, employees should request time off as far in advance as possible; and if an employee is absent for three or more consecutive days due to illness, a physician's statement may be required. Excessive absenteeism or tardiness may result in disciplinary action. Excessive absenteeism is defined as more than three unscheduled absences in a three-month period, and excessive tardiness is defined as more than three late arrivals in a three-month period. Failure to notify a supervisor of an absence (no-call, no-show) is considered a serious offense and may result in immediate disciplinary action. Employees with satisfactory attendance records may be given preference when promotional opportunities arise."
,What are First National Bank's customer service standards?,"First National Bank's customer service standards include: 1) Greet customers promptly and professionally - acknowledge customers immediately upon entering the branch or office, address customers by name when possible, and make eye contact; 2) Respond to customer inquiries and requests in a timely manner - aim to resolve customer issues during the first interaction or provide a clear timeline for resolution; 3) Communicate clearly and effectively - explain financial concepts in terms customers can understand, listen actively to customer concerns, and ask clarifying questions when necessary; 4) Maintain a positive attitude - remain professional, courteous, and patient, even when dealing with difficult situations, and focus on finding solutions rather than dwelling on problems; 5) Take ownership of customer issues - follow through on commitments made to customers, keep them informed of progress, and ensure a smooth handoff if unable to resolve an issue personally; 6) Protect customer privacy and confidentiality - never discuss customer information in public areas or with unauthorized individuals, and secure all customer documents and information; 7) Go above and beyond - look for opportunities to exceed customer expectations, create positive banking experiences, and anticipate customer needs; 8) Continuously improve - seek feedback on customer service performance and look for ways to enhance the customer experience. All employees are expected to embody these standards regardless of their role or direct customer contact."
,How does First National Bank define conflicts of interest?,"A conflict of interest exists when an employee's personal interests interfere, or appear to interfere, with the employee's ability to act in the best interest of First National Bank and its customers. Examples of potential conflicts include: having a significant financial interest in a company that does business with or competes with the Bank; accepting gifts, entertainment, or other favors of substantial value from customers, suppliers, or competitors; using Bank property, information, or position for personal gain; competing with the Bank for business opportunities; making business decisions influenced by personal relationships; processing or approving transactions for family members or personal accounts; and outside employment that conflicts with Bank duties. Employees must disclose any actual or potential conflicts of interest to their supervisor and the Compliance Department. Disclosed conflicts will be reviewed and appropriate actions determined, which may include recusing themselves from certain decisions or activities or eliminating the conflict (such as divesting financial interests or ending outside employment). The appearance of a conflict can be as damaging as an actual conflict, so when in doubt, employees should disclose the situation and seek guidance."
,What is First National Bank's policy on gifts and gratuities?,"First National Bank employees may not accept gifts, gratuities, or favors from customers, suppliers, or others doing business with the Bank except under the following conditions: the gift is of nominal value (generally under $50); the gift is advertising or promotional material bearing a company logo; the gift is a normal business courtesy such as a business meal; the gift is given during holidays or special occasions and represents a reasonable value; or declining the gift would create an unnecessary offense. Prohibited items include: cash or cash equivalents (gift cards, securities, etc.) of any amount; gifts intended to influence a business decision; lavish or extravagant gifts or entertainment regardless of value; and gifts prohibited by law or regulation. When giving gifts to customers or business contacts, employees must ensure the gift complies with the recipient's organization's policies, is of reasonable value and appropriate to the business relationship, does not create an appearance of impropriety, and is properly documented and approved by management. Gifts valued at more than $50 must be reported to the employee's supervisor and the Compliance Department. If an employee receives a prohibited gift, it should be returned or donated to charity. Violations of this policy may result in disciplinary action, up to and including termination of employment."
,What are the guidelines for outside employment at First National Bank?,"First National Bank recognizes that employees may engage in outside employment or business activities, provided there is no conflict with their job responsibilities. Outside employment that conflicts with the Bank's interests is prohibited, and employees may not receive income or material gain from individuals outside the Bank for materials produced or services rendered while performing their jobs at the Bank. Guidelines for outside employment include: outside work activities must not interfere with the employee's job performance; outside employment must not conflict with the employee's work schedule, including overtime when required; employees may not use Bank resources (time, equipment, facilities, or confidential information) for outside employment; outside employment must not compete with or create a conflict of interest with Bank business; employees must not perform outside work or solicit such business while on Bank time; and outside employment must not involve working for a competitor, supplier, or customer. Employees must disclose any outside employment to their supervisor and the Human Resources Department. The Bank may request employees to curtail or terminate outside employment if it creates a conflict of interest, interferes with job performance, results in excessive absenteeism or tardiness, or involves working for a competitor, supplier, or customer. Failure to disclose outside employment or comply with this policy may result in disciplinary action, up to and including termination of employment."
,What is First National Bank's social media policy?,"First National Bank's social media policy states that only authorized employees may create and manage social media accounts on behalf of the Bank, and all content posted on official Bank social media channels must be accurate and compliant with applicable regulations, protect customer confidentiality and proprietary information, maintain a professional tone and appearance, be approved through proper channels before posting, and adhere to Bank branding guidelines. For personal use of social media, employees should make it clear that views expressed are their own and not those of the Bank, never disclose confidential or proprietary information about the Bank or its customers, respect copyright and legal regulations, be respectful in all communications, and not use social media during working hours or on Bank equipment unless work-related. If employees identify themselves as Bank employees on personal social media, they should use a disclaimer stating their views are their own, ensure their profile is consistent with how they present themselves professionally, and remember they may still be viewed as a spokesperson for the Bank despite disclaimers. Prohibited content includes disclosure of confidential customer information, statements damaging to the Bank's reputation, harassing or discriminatory comments, false statements about competitors, and information violating securities laws. Violations may result in disciplinary action up to termination."
,What are First National Bank's privacy and confidentiality requirements?,"As a financial institution, First National Bank requires all employees to adhere to strict privacy standards and maintain the confidentiality of customer and Bank information. For customer information: all customer information must be treated as confidential; access should be limited to what is necessary to perform job duties; information should never be discussed in public areas or with unauthorized individuals; proper authentication procedures must be followed before disclosing information to customers; and information should only be shared with third parties when legally permitted and with proper authorization. For Bank information: proprietary information about business operations, strategies, systems, and procedures is confidential; financial data, marketing plans, and other sensitive business information should not be discussed outside the Bank; and access to confidential Bank information should be limited to those who need it to perform their jobs. Security measures include: locking computers when away from desks; securing physical documents containing sensitive information; using secure shredding bins for disposal of confidential documents; never sharing passwords or access credentials; and reporting any suspected privacy breaches immediately. All employees must comply with relevant privacy laws and regulations, including the Gramm-Leach-Bliley Act (GLBA), Fair Credit Reporting Act (FCRA), Bank Secrecy Act (BSA), and state privacy laws. Violations may result in disciplinary action, up to and including termination, and may subject the employee to civil or criminal penalties."
,What constitutes sexual harassment according to First National Bank's policy?,"According to First National Bank's policy, sexual harassment includes unwelcome sexual advances, requests for sexual favors, and other verbal or physical conduct of a sexual nature when: submission to such conduct is made either explicitly or implicitly a term or condition of an individual's employment; submission to or rejection of such conduct is used as the basis for employment decisions affecting the individual; or such conduct has the purpose or effect of unreasonably interfering with an individual's work performance or creating an intimidating, hostile, or offensive working environment. Examples of sexual harassment include, but are not limited to: unwelcome touching, patting, or other physical contact; suggestive or lewd remarks, jokes, or gestures; unwanted sexual advances or propositions; graphic verbal commentaries about an individual's body; display of sexually suggestive objects or pictures; sexual or gender-based jokes or teasing; unwelcome questions about an individual's sexual experiences; and sending or displaying sexually explicit emails, texts, or other communications."
,How should employees report harassment or discrimination at First National Bank?,"First National Bank provides several avenues for reporting harassment or discrimination: 1) Direct Management: Employees can report incidents to their immediate supervisor. If the supervisor is the subject of the complaint, employees should report to the next level of management. 2) Human Resources: Employees can report directly to any HR representative in person, by phone, or by email. 3) Ethics Hotline: Reports can be made anonymously through the Bank's Ethics Hotline at 1-800-XXX-XXXX or online at [ethicshotline.firstnationalbank.com]. 4) Executive Management: Employees can report to any member of the executive team if they are not comfortable with other reporting options. All reports should include: date(s), time(s), and location(s) of the incident(s); description of the incident(s); name(s) of the individual(s) involved; name(s) of any witness(es); and any supporting documentation or evidence. The Bank takes all reports seriously and will handle them as confidentially as possible, sharing information only on a need-to-know basis to conduct a thorough investigation."
,What is First National Bank's policy on retaliation?,"First National Bank strictly prohibits retaliation against any individual who reports harassment or discrimination, participates in an investigation, or opposes discriminatory practices. Retaliation includes any adverse employment action or behavior that would likely discourage a reasonable person from engaging in protected activity. Examples of retaliation include, but are not limited to: termination, demotion, or unfavorable reassignment; denial of promotion or benefits; reduction in pay or hours; increased scrutiny or performance monitoring; creation of a hostile work environment; unjustified negative evaluations or references; exclusion from meetings or activities; and encouragement of others to ostracize or mistreat the individual. Employees who believe they have experienced retaliation should report it immediately through the same channels used for harassment and discrimination complaints. Anyone found to have engaged in retaliation will be subject to disciplinary action, up to and including termination of employment."
,What health insurance benefits does First National Bank offer?,"First National Bank offers comprehensive health insurance benefits to eligible employees. The health insurance program includes medical, dental, and vision coverage options. The Bank offers multiple plan options to meet different employee needs, including PPO and HDHP plans with varying deductibles, co-payments, and premium costs. Health insurance coverage is available for employees and their eligible dependents, including spouses and children. The Bank contributes a significant portion of the premium costs, with the remainder paid by employees through payroll deductions on a pre-tax basis. New employees become eligible for health insurance coverage on the first day of the month following 30 days of continuous employment. Employees can make changes to their health insurance elections during the annual open enrollment period or when they experience a qualifying life event. The Bank also offers a Health Savings Account (HSA) option for employees enrolled in the HDHP plan and a Flexible Spending Account (FSA) for healthcare and dependent care expenses. Detailed information about specific coverage, costs, and enrollment procedures is available from the Human Resources Department."
,What retirement benefits does First National Bank provide?,"First National Bank offers a comprehensive retirement program to help employees prepare for their financial future. The retirement program includes a 401(k) plan that allows employees to contribute a portion of their salary on a pre-tax or Roth after-tax basis, up to IRS annual limits. The Bank provides a matching contribution of 100% of the first 4% of employee contributions, which vests over a five-year period (20% per year). In addition to the matching contribution, the Bank may make discretionary profit-sharing contributions to employees' 401(k) accounts based on the company's annual performance. Employees are eligible to participate in the 401(k) plan after 90 days of employment and are automatically enrolled at a 3% contribution rate unless they opt out or select a different percentage. The plan offers a diverse range of investment options, including target-date funds, mutual funds, and professionally managed portfolios. The Bank also provides financial planning resources and retirement education seminars to help employees make informed decisions about their retirement savings. For employees nearing retirement, the Bank offers retirement transition planning sessions to discuss retirement timing, benefit options, and the process for a smooth transition to retirement."
,What is First National Bank's vacation policy?,"First National Bank provides paid vacation time to regular full-time and part-time employees (working at least 20 hours per week) based on length of service. Full-time employees accrue vacation as follows: 0-5 years of service: 10 days (80 hours) per year; 5-10 years of service: 15 days (120 hours) per year; 10+ years of service: 20 days (160 hours) per year. Part-time employees who work at least 20 hours per week accrue vacation on a prorated basis according to hours worked. Vacation time begins accruing from the date of hire, but new employees may not use vacation time until after 90 days of employment. Employees must schedule vacation time in advance and obtain supervisor approval. During peak business periods, vacation requests may be limited to ensure adequate staffing. Employees are encouraged to take their earned vacation time each year for rest and rejuvenation. A maximum of 5 vacation days may be carried over to the following year, with any additional unused vacation time forfeited at year-end unless an exception is approved due to business necessity. Upon termination of employment, employees will be paid for unused, accrued vacation time, provided they have completed at least one year of service and given proper notice."
,What is First National Bank's sick leave policy?,"First National Bank provides paid sick leave to help employees who are unable to work due to illness or injury. Full-time employees accrue sick leave at the rate of 8 hours (1 day) per month for a total of 12 days (96 hours) per year. Part-time employees who work at least 20 hours per week accrue sick leave on a prorated basis according to hours worked. Sick leave begins accruing from the date of hire, and new employees may use accrued sick leave after completing 90 days of employment. Sick leave may be used for the employee's own illness or injury, medical appointments, or to care for an immediate family member (spouse, child, parent, or domestic partner) who is ill or injured. Employees who are unable to report to work due to illness or injury should notify their supervisor as soon as possible, preferably before the scheduled start time. If an employee is absent for three or more consecutive days due to illness or injury, a doctor's note may be required. Unused sick leave may be carried over from year to year, up to a maximum accrual of 30 days (240 hours). Unlike vacation time, unused sick leave is not paid out upon termination of employment. The Bank reserves the right to request medical certification for any sick leave absence and to ensure that sick leave is not being abused."
,What family leave benefits does First National Bank offer?,"First National Bank complies with the Family and Medical Leave Act (FMLA) and provides eligible employees with up to 12 weeks of unpaid, job-protected leave per year for specified family and medical reasons. To be eligible for FMLA leave, employees must have worked for the Bank for at least 12 months, have worked at least 1,250 hours during the 12 months prior to the start of leave, and work at a location where the Bank has at least 50 employees within 75 miles. Qualifying reasons for FMLA leave include: the birth and care of a newborn child; placement with the employee of a child for adoption or foster care; care for an immediate family member (spouse, child, or parent) with a serious health condition; medical leave when the employee is unable to work because of a serious health condition; or qualifying exigencies arising out of a family member's military service. Additionally, the Bank offers a Parental Leave benefit beyond FMLA. Following the birth or adoption of a child, eligible employees who have been employed for at least one year may receive four weeks of paid parental leave. The paid parental leave runs concurrently with FMLA leave. During FMLA leave, the Bank will maintain the employee's health coverage under the group health plan, and upon return from FMLA leave, most employees must be restored to their original or equivalent positions with equivalent pay, benefits, and other employment terms. Employees should provide 30 days' advance notice of the need to take FMLA leave when it is foreseeable and should promptly notify the Human Resources Department to request family leave."
,What holidays does First National Bank observe?,"First National Bank observes the following paid holidays each year: New Year's Day (January 1); Martin Luther King Jr. Day (third Monday in January); Presidents' Day (third Monday in February); Memorial Day (last Monday in May); Juneteenth (June 19); Independence Day (July 4); Labor Day (first Monday in September); Columbus Day/Indigenous Peoples' Day (second Monday in October); Veterans Day (November 11); Thanksgiving Day (fourth Thursday in November); Day after Thanksgiving (fourth Friday in November); Christmas Day (December 25). When a holiday falls on a Saturday, it is usually observed on the preceding Friday. When a holiday falls on a Sunday, it is usually observed on the following Monday. To be eligible for holiday pay, employees must be in an active pay status the workday before and after the holiday. Regular full-time employees receive 8 hours of pay for each observed holiday. Regular part-time employees who work at least 20 hours per week receive holiday pay prorated based on their regular work schedule. If an eligible non-exempt employee is required to work on an observed holiday, the employee will receive holiday pay plus pay for the hours worked at one and one-half times their regular rate. Floating holidays may be granted in some years at the discretion of management or in lieu of certain holidays based on business needs."
,What is First National Bank's policy on performance evaluations?,"First National Bank conducts formal performance evaluations for all employees on an annual basis, typically around the employee's employment anniversary date. The performance evaluation process is designed to: provide feedback on job performance; recognize achievements and contributions; identify strengths and areas for improvement; establish goals and expectations for the coming year; and determine merit increase eligibility. The evaluation process begins with employees completing a self-assessment of their performance, accomplishments, and goals. Supervisors then complete an evaluation form assessing the employee's performance in key areas such as job knowledge, quality of work, productivity, dependability, communication skills, teamwork, and initiative. The supervisor and employee meet to discuss the evaluation, with both parties having the opportunity to provide input. During the meeting, they establish specific, measurable goals for the upcoming year that align with department and Bank objectives. Performance ratings typically include: Exceeds Expectations, Meets Expectations, Partially Meets Expectations, and Does Not Meet Expectations. In addition to annual reviews, supervisors are encouraged to provide ongoing feedback throughout the year, including informal check-ins and mid-year progress reviews. Performance evaluations become part of the employee's personnel file and are considered when making decisions about promotions, transfers, and compensation adjustments. Employees who disagree with their performance evaluation may submit a written response that will be attached to the evaluation in their personnel file."
,What is First National Bank's substance abuse policy?,"First National Bank is committed to providing a safe, healthy, and productive work environment that is free from the effects of substance abuse. The Bank prohibits the use, possession, sale, transfer, or distribution of illegal drugs or controlled substances while on Bank premises, while operating Bank vehicles or equipment, or while conducting Bank business. The Bank also prohibits the unauthorized use or abuse of alcohol on Bank premises or while conducting Bank business. Employees are prohibited from reporting to work or remaining at work when under the influence of alcohol, illegal drugs, or controlled substances. Legal medications or prescription drugs that may affect an employee's ability to safely perform their job should be reported to the supervisor or Human Resources. The Bank may conduct drug and alcohol testing in the following situations: pre-employment screening for certain positions; reasonable suspicion of substance abuse; after workplace accidents resulting in injury or significant property damage; randomly for employees in safety-sensitive positions; and as required by law. Testing positive for illegal drugs or alcohol, refusing to submit to testing, or adulterating test samples will result in disciplinary action, up to and including termination of employment. The Bank encourages employees with substance abuse problems to seek assistance through the Employee Assistance Program (EAP) or other treatment resources before their job performance is affected. Self-referral to treatment will not adversely affect an employee's job or career, but participation in a treatment program will not protect an employee from disciplinary action for policy violations."
,What is First National Bank's policy on workplace violence prevention?,"First National Bank is committed to providing a safe workplace and has zero tolerance for acts or threats of violence. The Bank prohibits violence or threatening behavior of any type, whether expressed or implied, occurring on Bank property or in connection with Bank employment. This includes: physical assault, fighting, or intimidation; verbal threats, threatening language, or gestures; possession of weapons on Bank premises (except where permitted by law and authorized by the Bank); vandalism, arson, or sabotage; and any other behavior that causes others to feel unsafe. Bank employees, customers, vendors, and visitors are expected to treat each other with respect and courtesy. Warning signs of potential violence should be reported immediately to a supervisor, Human Resources, or Security, including: direct or veiled threats of harm; aggressive or hostile behavior; history of violent, threatening, or disruptive behavior; unwelcome obsessive attention; domestic violence that may extend into the workplace; or substance abuse. All reports of threats or violence will be promptly investigated, and appropriate action will be taken. This may include involving law enforcement, implementing security measures, and/or taking disciplinary action up to and including termination of employment. The Bank provides training on recognizing and responding to potentially violent situations and maintains security measures such as access control systems and security personnel at branch locations. In the event of an immediate threat or emergency, employees should call 911 first, then notify Security. Employees who have protection orders against others should notify Human Resources and provide a copy of the order."
,What year was First National Bank founded?,First National Bank was founded in 1935.
,How many branches does First National Bank have?,First National Bank has over 85 branches.
,How many employees work at First National Bank?,"First National Bank has more than 2,500 employees."
,Who is the CEO of First National Bank?,Jonathan Reynolds is the Chief Executive Officer of First National Bank.
,When was the Employee Handbook last updated?,The Employee Handbook was last updated in March 2025.
,What is First National Bank's mission?,"First National Bank's mission is to deliver exceptional financial services that help our customers, communities, and employees prosper and grow."
,What is First National Bank's vision?,"First National Bank's vision is to be the most trusted financial partner in the communities we serve, known for our customer focus, innovative solutions, and commitment to excellence."
,List the core values of First National Bank.,"First National Bank's core values are: 1. Integrity, 2. Excellence, 3. Customer Focus, 4. Teamwork, 5. Community Commitment, 6. Accountability, and 7. Respect."
,What does the value of 'Integrity' mean at First National Bank?,"At First National Bank, Integrity means conducting business ethically and honestly, always doing what is right for customers, employees, and communities."
,How does First National Bank define 'Excellence' as a core value?,"First National Bank defines Excellence as striving for exceptional performance in everything they do, constantly seeking to improve and innovate."
,What is First National Bank's approach to 'Customer Focus'?,First National Bank's approach to Customer Focus is building lasting relationships by understanding customers' needs and delivering solutions that exceed their expectations.
,How does First National Bank view 'Teamwork' as a core value?,"First National Bank views Teamwork as collaborating effectively, respecting diverse perspectives, and supporting each other to achieve common goals."
,What does 'Community Commitment' mean at First National Bank?,"At First National Bank, Community Commitment means actively contributing to the economic and social well-being of the communities they serve."
,How does First National Bank define 'Accountability'?,"First National Bank defines Accountability as taking ownership of actions and decisions, learning from both successes and failures."
,What does the value of 'Respect' entail at First National Bank?,"At First National Bank, Respect entails treating everyone with dignity and respect, valuing the diversity of ideas, backgrounds, and experiences."
,What is First National Bank's policy on Equal Employment Opportunity?,"First National Bank is committed to providing equal employment opportunities to all individuals without regard to race, color, religion, sex, national origin, age, disability, marital status, veteran status, sexual orientation, gender identity, genetic information, or any other characteristic protected by law. This policy applies to all terms and conditions of employment."
,Is employment at First National Bank at-will?,"Yes, employment with First National Bank is voluntary and is subject to termination by the employee or the Bank at will, with or without cause, and with or without notice, at any time."
,Can the employment-at-will policy be modified?,The employment-at-will policy may not be modified by any officer or employee and shall not be modified in any publication or document. The only exception is a written employment agreement approved by the CEO or Board of Directors of the Bank.
,What is First National Bank's policy on immigration law compliance?,"First National Bank is committed to employing only United States citizens and aliens who are authorized to work in the United States and complies with the Immigration Reform and Control Act of 1986. As a condition of employment, each new employee must properly complete, sign, and date the first section of the U.S. Citizenship and Immigration Services Form I-9."
,How does First National Bank classify full-time regular employees?,"First National Bank classifies full-time regular employees as those who are not in a temporary status and who are regularly scheduled to work a full-time schedule of at least 35 hours per week. Generally, these employees are eligible for the full benefits package, subject to the terms, conditions, and limitations of each benefit program."
,What is the classification for part-time regular employees?,"Part-time regular employees are those who are not in a temporary status and who are regularly scheduled to work less than 35 hours per week. Part-time employees who work at least 20 hours per week are eligible for some benefits sponsored by First National Bank, subject to the terms, conditions, and limitations of each benefit program."
,How are temporary employees defined at First National Bank?,"Temporary employees are those who are hired as interim replacements, to temporarily supplement the workforce, or to assist in the completion of a specific project. Employment assignments in this category are of a limited duration, generally not exceeding six months. Temporary employees retain that status unless and until notified of a change in writing by Human Resources. They are not eligible for any of the Bank's benefit programs."
,What are non-exempt employees?,Non-exempt employees are those who are entitled to overtime pay under the Fair Labor Standards Act (FLSA). These employees are required to submit a record of the time they work each week.
,What are exempt employees?,"Exempt employees are those who are not entitled to overtime pay under the FLSA and who are employed in an executive, administrative, professional, outside sales, or certain computer-related capacity."
,Why does First National Bank conduct background checks?,First National Bank conducts background checks due to the nature of their business and in compliance with federal banking regulations. All offers of employment are contingent upon satisfactory completion of a background investigation.
,What may be included in a background check at First National Bank?,"Background checks at First National Bank may include verification of previous employment and education, credit history, criminal background, and other checks as deemed appropriate based on the position."
,Are periodic background checks conducted during employment?,"Yes, periodic background checks may be conducted during employment at First National Bank."
,How long is the probationary period for new employees?,The probationary period for new employees at First National Bank is 90 days.
,What happens during the probationary period?,"During the probationary period, employees have the opportunity to evaluate the Bank as a place to work, and management has the opportunity to evaluate the employee's job performance. New employees will be provided with training and guidance from their supervisor, and performance evaluations may be conducted at the end of the period."
,Does completing the probationary period guarantee continued employment?,"No, completing the probationary period does not guarantee continued employment and does not change the at-will employment relationship. Either the employee or the Bank may end the employment relationship at any time during or after the probationary period, with or without cause or advance notice."
,Who has access to personnel files at First National Bank?,"Personnel files are the property of First National Bank, and access to the information they contain is restricted. Generally, only supervisors and management personnel of the Bank who have a legitimate reason to review information in a file are allowed to do so."
,Can employees review their own personnel files?,"Yes, employees who wish to review their own file should contact Human Resources. With reasonable advance notice, employees may review their own personnel files in the presence of an individual appointed by the Bank to maintain the files."
,What personal data changes should employees promptly notify to Human Resources?,"Employees should promptly notify Human Resources of any changes in their personal data, including: name changes, address and telephone number, emergency contact information, educational accomplishments, marital status, number of dependents, beneficiary designations for benefits, and banking information for direct deposit."
,What is First National Bank's policy on employment of relatives?,"While First National Bank does not prohibit the employment of relatives, relatives of persons currently employed by the Bank may be hired only if they will not be working directly for or supervising a relative or will not occupy a position in the same line of authority within the organization. If a relationship is established after employment that creates a conflict or potential for conflict, the employees may be separated by reassignment or terminated from employment."
,What types of information are considered confidential at First National Bank?,"Confidential information at First National Bank includes, but is not limited to: customer information and data, financial information, marketing strategies, pending projects and proposals, proprietary processes, research and development strategies, and technological data and systems."
,Are employees required to sign a confidentiality agreement?,"Yes, all employees are required to sign a confidentiality and non-disclosure agreement as a condition of employment at First National Bank."
,What happens if an employee improperly discloses confidential information?,"Employees who improperly use or disclose trade secrets or confidential business information will be subject to disciplinary action, up to and including termination of employment and legal action, even if they do not actually benefit from the disclosed information."
,What must employees return upon termination of employment?,"Upon termination of employment, employees must return all documents, papers, and other materials that may contain confidential information."
